utt,sample_id,token_match,event_match,steady_token_match,final_token_len,event_len
453,b9c2ca23-d52c-a814-9d46-bbea97c1e284,True,True,True,57,31
454,fd74b8aa-6c30-2a30-059e-dbcc53609ceb,True,True,True,18,13
455,ae87f7c2-92d3-5786-7c08-af56952355bd,True,True,True,18,9
456,c5d8d78d-0ff6-6223-79fb-dc8ecc163404,True,True,True,62,33
457,ec7becf7-18d0-2daf-a591-bf6cc98aa062,True,True,True,13,7
458,4bfecb83-6f0c-80fa-e848-fd473a2ebe2f,True,True,True,23,10
459,e5b358a8-e2cf-40c4-7e2f-9a0c74781024,True,True,True,34,12
460,11dbb0a3-60bd-4462-d590-a9ac3ecfb5ea,True,True,True,78,43
461,4779c1cb-5ebc-ccbc-9433-3be7128ca351,True,True,True,17,9
462,a2aeb4e6-daa7-08a9-5d56-6857f8f91765,True,True,True,67,38
463,0173f6de-838c-139d-4f62-49762a382755,True,True,True,69,40
464,10b56f80-f2f3-6f3a-96ce-969e18086940,True,True,True,63,36
465,0442fe17-60c1-e543-6c1e-74d1d7a1de8e,True,True,True,42,23
466,a41892f1-3d20-3049-f107-aec3a29b426d,True,True,True,66,40
467,2fd521b4-9b83-b391-869f-213f2c835e93,True,True,True,68,37
468,7188d8e8-2689-e765-0bd3-8f1fde42987c,True,True,True,61,35
469,1e993cf8-6b73-8570-12d7-6e0aabb5354d,True,True,True,58,32
470,8b700a2c-1f6c-699e-df9a-75398ad9e16c,True,True,True,61,31
471,88bb72d0-0b55-7021-bc40-4cca5d314726,True,True,True,11,6
472,b56d79e3-f63a-47a2-2372-636b54488815,True,True,True,23,15
473,46174128-6089-ee36-8581-e6edf58a6e5d,True,True,True,12,7
474,72cbb3b9-a0b7-244a-6e3d-480bd636f112,True,True,True,13,8
475,13abfe37-eef5-d311-a98d-672ae1e8cfd5,True,True,True,72,41
476,da2eb3a4-e4a6-91ba-8f51-05f49e959f43,True,True,True,77,43
